po_code,District
BS7,"Bristol, City of"
BS1,"Bristol, City of"
BS4,"Bristol, City of"
BS5,"Bristol, City of"
BS3,"Bristol, City of"
BS6,"Bristol, City of"
BS9,"Bristol, City of"
BS8,"Bristol, City of"
BA2,Bath and North East Somerset
BA1,Bath and North East Somerset
GL1,South Gloucestershire
BA3,Bath and North East Somerset
GL9,South Gloucestershire
SN1,South Gloucestershire
DL5,County Durham
SS1,Thurrock
NG1,Nottinghamshire
TA2,"Bristol, City of"
TA1,"Bristol, City of"
MK4,Bedford
SG1,Central Bedfordshire
LU5,Central Bedfordshire
LU2,Luton
LU1,Luton
LU3,Luton
LU6,Central Bedfordshire
LU4,Luton
MK1,Central Bedfordshire
PE2,Bedford
LU7,Central Bedfordshire
SG5,Central Bedfordshire
NN2,Bedford
NN1,Bedford
RG2,Reading
RG3,Reading
SL6,Windsor and Maidenhead
SL4,Windsor and Maidenhead
RG5,Wokingham
SL1,Slough
SL2,Slough
RG6,Reading
RG7,West Berkshire
GU4,Bracknell Forest
SL3,Slough
RG8,West Berkshire
SL7,Windsor and Maidenhead
PE1,Cambridgeshire
HP6,Buckinghamshire
HP2,Buckinghamshire
MK2,Milton Keynes
HP5,Buckinghamshire
HP8,Buckinghamshire
WD3,Buckinghamshire
HP4,Buckinghamshire
MK6,Milton Keynes
HP9,Buckinghamshire
SL9,Buckinghamshire
SL8,Buckinghamshire
MK8,Milton Keynes
MK7,Milton Keynes
MK5,Milton Keynes
OX2,Buckinghamshire
HP7,Buckinghamshire
RG9,Buckinghamshire
CB5,Cambridgeshire
CB1,Cambridgeshire
CB4,Cambridgeshire
PE4,Peterborough
PE3,Peterborough
SG8,Cambridgeshire
CB3,Cambridgeshire
CB8,Cambridgeshire
PE7,Cambridgeshire
CB6,Cambridgeshire
PE6,Peterborough
PE8,Peterborough
CB7,Cambridgeshire
PE9,Peterborough
PE5,Peterborough
CW2,Cheshire East
WA2,Warrington
WA7,Halton
WA4,Warrington
WA5,Warrington
CH1,Cheshire West and Chester
CH2,Cheshire West and Chester
CH3,Cheshire West and Chester
WA6,Cheshire West and Chester
ST7,Cheshire East
CW4,Cheshire East
CW6,Cheshire West and Chester
CW7,Cheshire West and Chester
CW8,Cheshire West and Chester
CW9,Cheshire West and Chester
CW3,Cheshire East
CW5,Cheshire East
SY1,Cheshire East
TS2,Stockton-on-Tees
TS6,Redcar and Cleveland
TS1,Redcar and Cleveland
TS4,Middlesbrough
TS3,Middlesbrough
TS5,Middlesbrough
TS7,Middlesbrough
TS8,Middlesbrough
TR1,Cornwall
TR3,Cornwall
TR4,Cornwall
TR5,Cornwall
TR6,Cornwall
TR8,Cornwall
PL2,Cornwall
TR7,Cornwall
TR9,Cornwall
PL3,Cornwall
PL1,Cornwall
EX2,Cornwall
CA2,Cumbria
LA1,Cumbria
LA9,Cumbria
CA1,Cumbria
CA9,Cumbria
CA4,Cumbria
CA6,Cumbria
CA7,Cumbria
CA8,Cumbria
CA5,Cumbria
LA6,Cumbria
LA7,Cumbria
LA2,Cumbria
CA3,Cumbria
LA8,Cumbria
LA5,Cumbria
DE2,Derby
DE1,Derby
DE5,Derbyshire
S41,Derbyshire
S42,Derbyshire
S45,Derbyshire
DE7,Derbyshire
S44,Derbyshire
S33,Derbyshire
S43,Derbyshire
DE4,Derbyshire
S32,Derbyshire
DE6,Derbyshire
S18,Derbyshire
NG2,Derbyshire
S40,Derbyshire
DE3,Derby
ST1,Derbyshire
PL6,Plymouth
TQ3,Torbay
EX3,Devon
PL4,Plymouth
PL5,Plymouth
EX1,Devon
EX5,Devon
EX6,Devon
EX4,Devon
EX8,Devon
TQ1,Devon
TQ9,Devon
TQ5,Torbay
TQ6,Devon
EX7,Devon
TQ7,Devon
TQ4,Torbay
TQ2,Torbay
PL8,Devon
PL7,Devon
PL9,Devon
TQ8,Devon
EX9,Devon
DT7,Devon
BH1,Pre-LGR 2019 Poole
BH2,Pre-LGR 2019 Dorset
DT1,Dorset
DT6,Pre-LGR 2019 Dorset
DT2,Dorset
SP8,Dorset
SP5,Pre-LGR 2019 Dorset
DT9,Pre-LGR 2019 Dorset
BH3,Pre-LGR 2019 Dorset
DT3,Pre-LGR 2019 Dorset
DT5,Pre-LGR 2019 Dorset
DT4,Pre-LGR 2019 Dorset
BH8,Pre-LGR 2019 Bournemouth
BH5,Pre-LGR 2019 Bournemouth
BH6,Pre-LGR 2019 Bournemouth
BH9,Pre-LGR 2019 Bournemouth
SP6,Pre-LGR 2019 Dorset
DT8,Dorset
SP7,Pre-LGR 2019 Dorset
BH7,Pre-LGR 2019 Bournemouth
BH4,"Bournemouth, Christchurch and Poole"
DH2,County Durham
DH1,County Durham
DH7,County Durham
DH9,County Durham
DL1,County Durham
SR7,County Durham
DL3,Darlington
DH8,County Durham
SR8,County Durham
DH6,County Durham
DL4,County Durham
DL2,Darlington
BN1,Brighton and Hove
BN4,Brighton and Hove
BN7,East Sussex
TN6,East Sussex
TN2,East Sussex
BN8,East Sussex
BN3,Brighton and Hove
TN7,East Sussex
TN4,East Sussex
BN9,East Sussex
BN6,East Sussex
TN5,East Sussex
CM1,Essex
CM2,Essex
CO2,Essex
CO3,Essex
CO4,Essex
CO1,Essex
SS2,Southend-on-Sea
SS9,Southend-on-Sea
SS0,Southend-on-Sea
CO9,Essex
CB9,Essex
CO5,Essex
CO7,Essex
SS3,Southend-on-Sea
CM7,Essex
SS7,Essex
CM9,Essex
CM0,Essex
SS8,Essex
CM8,Essex
SS4,Essex
CM3,Essex
SS5,Essex
CM6,Essex
SS6,Essex
CM4,Essex
EN9,Essex
CM5,Essex
IG9,Essex
CO6,Essex
GL5,Gloucestershire
GL2,Gloucestershire
GL4,Gloucestershire
GL3,Gloucestershire
GL8,Gloucestershire
GL6,Gloucestershire
OX7,Gloucestershire
GL7,Gloucestershire
NP1,Gloucestershire
NP2,Gloucestershire
WR1,Gloucestershire
HR8,Gloucestershire
PO4,Portsmouth
PO1,Hampshire
SO1,Southampton
GU3,Hampshire
SP1,Hampshire
SO5,Hampshire
PO6,Portsmouth
PO9,Hampshire
SO4,Hampshire
SO3,Hampshire
SO2,Hampshire
PO8,Hampshire
PO7,Hampshire
SP9,Hampshire
GU5,Hampshire
PO2,Portsmouth
PO3,Portsmouth
PO5,Portsmouth
GU2,Hampshire
HR3,"Herefordshire, County of"
B48,Worcestershire
HR7,"Herefordshire, County of"
WR6,"Herefordshire, County of"
B61,Worcestershire
HR4,"Herefordshire, County of"
WR9,Worcestershire
HR2,"Herefordshire, County of"
WR7,Worcestershire
HR1,"Herefordshire, County of"
WR5,Worcestershire
HR5,"Herefordshire, County of"
HR6,"Herefordshire, County of"
B96,Worcestershire
B97,Worcestershire
HR9,"Herefordshire, County of"
WR4,Worcestershire
WR2,Worcestershire
WR3,Worcestershire
B47,Worcestershire
WR8,Worcestershire
SY8,"Herefordshire, County of"
SY7,"Herefordshire, County of"
SG7,Hertfordshire
EN8,Hertfordshire
AL5,Hertfordshire
AL1,Hertfordshire
SG6,Hertfordshire
AL2,Hertfordshire
WD1,Hertfordshire
AL6,Hertfordshire
AL7,Hertfordshire
SG2,Hertfordshire
WD5,Hertfordshire
HP3,Hertfordshire
WD6,Hertfordshire
AL3,Hertfordshire
SG4,Hertfordshire
SG3,Hertfordshire
AL4,Hertfordshire
SG9,Hertfordshire
WD7,Hertfordshire
AL8,Hertfordshire
EN7,Hertfordshire
WD4,Hertfordshire
AL9,Hertfordshire
HU6,"Kingston upon Hull, City of"
HU2,"Kingston upon Hull, City of"
HU5,"Kingston upon Hull, City of"
YO1,East Riding of Yorkshire
HU1,East Riding of Yorkshire
HU4,"Kingston upon Hull, City of"
HU3,"Kingston upon Hull, City of"
BB1,Lancashire
HU8,"Kingston upon Hull, City of"
HU9,"Kingston upon Hull, City of"
HU7,"Kingston upon Hull, City of"
YO2,East Riding of Yorkshire
YO4,East Riding of Yorkshire
YO8,East Riding of Yorkshire
CT6,Kent
ME1,Kent
ME4,Medway
DA2,Kent
DA3,Kent
DA4,Kent
ME3,Kent
DA9,Kent
TN8,Kent
TN9,Kent
ME2,Kent
ME6,Kent
ME5,Medway
ME9,Kent
CT2,Kent
CT4,Kent
CT3,Kent
CT5,Kent
CT8,Kent
ME7,Medway
ME8,Medway
CT7,Kent
BB5,Lancashire
PR7,Lancashire
PR6,Lancashire
BB9,Lancashire
L39,Lancashire
PR1,Lancashire
BB2,Blackburn with Darwen
BB7,Lancashire
BB8,Lancashire
BB4,Lancashire
BB3,Blackburn with Darwen
FY5,Lancashire
PR2,Lancashire
PR3,Lancashire
LA4,Lancashire
LA3,Lancashire
FY7,Lancashire
FY6,Lancashire
PR4,Lancashire
FY8,Lancashire
PR5,Lancashire
BB6,Lancashire
WN8,Lancashire
FY1,Blackpool
FY3,Blackpool
FY4,Blackpool
FY2,Blackpool
LE8,Leicestershire
LE1,Leicestershire
LE7,Leicestershire
LE6,Leicestershire
LE3,Leicestershire
NG3,Leicestershire
LE9,Leicestershire
LE4,Leicestershire
LE2,Leicestershire
LE5,Leicester
CV9,Leicestershire
LN2,Lincolnshire
LN5,Lincolnshire
LN4,Lincolnshire
LN6,Lincolnshire
LN1,Lincolnshire
LN9,Lincolnshire
LN8,Lincolnshire
LN7,Lincolnshire
LN3,Lincolnshire
NR1,Norfolk
NR5,Norfolk
NR4,Norfolk
NR3,Norfolk
IP2,Norfolk
NR2,Norfolk
NR9,Norfolk
NR7,Norfolk
NR6,Norfolk
NR8,Norfolk
YO3,York
DL7,North Yorkshire
DL6,North Yorkshire
DL8,North Yorkshire
YO6,North Yorkshire
TS9,North Yorkshire
YO7,North Yorkshire
DL9,North Yorkshire
YO5,North Yorkshire
HG3,North Yorkshire
HG1,North Yorkshire
HG2,North Yorkshire
HG5,North Yorkshire
HG4,North Yorkshire
NN8,Northamptonshire
NN4,Northamptonshire
NN3,Northamptonshire
NN7,Northamptonshire
NN6,Northamptonshire
OX1,Northamptonshire
NN9,Northamptonshire
NN5,Northamptonshire
TD1,Northumberland
NG7,Nottingham
NG8,Nottingham
NG6,Nottingham
NG5,Nottingham
NG4,Nottinghamshire
NG9,Nottinghamshire
OX4,Oxfordshire
OX3,Oxfordshire
OX8,Oxfordshire
OX5,Oxfordshire
OX9,Oxfordshire
SN7,Oxfordshire
SN6,Oxfordshire
TF7,Telford and Wrekin
TF2,Telford and Wrekin
TF3,Telford and Wrekin
WV7,Shropshire
SY9,Shropshire
TF8,Shropshire
TF9,Shropshire
SY6,Shropshire
TF6,Telford and Wrekin
TF4,Telford and Wrekin
SY4,Shropshire
SY5,Shropshire
SY3,Shropshire
SY2,Shropshire
TF5,Telford and Wrekin
WV5,Shropshire
TA6,Somerset
BA6,Somerset
BA7,Somerset
BA5,Somerset
BA4,Somerset
BA9,Somerset
TA7,Somerset
TA8,Somerset
TA9,Somerset
TA5,Somerset
TA3,Somerset
TA4,Somerset
BA8,Somerset
ST2,Stoke-on-Trent
ST6,Stoke-on-Trent
ST3,Stoke-on-Trent
ST4,Stoke-on-Trent
ST5,Staffordshire
B77,Staffordshire
ST9,Stoke-on-Trent
ST8,Staffordshire
B78,Staffordshire
B79,Staffordshire
DY7,Staffordshire
WS6,Staffordshire
WS7,Staffordshire
IP1,Suffolk
IP4,Suffolk
IP3,Suffolk
IP7,Suffolk
IP6,Suffolk
IP8,Suffolk
IP9,Suffolk
IP5,Suffolk
CO8,Suffolk
RH4,Surrey
GU7,Surrey
RH2,Surrey
RH6,Surrey
RH5,Surrey
SM7,Surrey
CR6,Surrey
GU6,Surrey
RH3,Surrey
KT8,Surrey
KT7,Surrey
RH7,Surrey
RH8,Surrey
GU8,Surrey
RH9,Surrey
GU9,Surrey
CV8,Warwickshire
B49,Warwickshire
B80,Warwickshire
B46,Warwickshire
B50,Warwickshire
BN5,West Sussex
SN2,Swindon
SP4,Wiltshire
SN4,Swindon
SN3,Swindon
SN9,Wiltshire
SN8,Wiltshire
SP2,Wiltshire
SN5,Swindon
SP3,Wiltshire
N66,Camden
E64,Newham
L56,Liverpool
L59,Liverpool
CH7,Liverpool
L38,Sefton
L77,Wirral
M93,Manchester
M70,Salford
S93,Sheffield
S31,Sheffield
B55,Birmingham
M60,Manchester
GY1,Guernsey Offshore Establishments
IM1,Isle of Man Offshore Establishments
JE2,Jersey Offshore Establishments
JE3,Jersey Offshore Establishments
IM7,Isle of Man Offshore Establishments
JE1,Jersey Offshore Establishments
IM9,Isle of Man Offshore Establishments
GY8,Guernsey Offshore Establishments
IM2,Isle of Man Offshore Establishments
KY1,Scotland Offshore Establishments
PH7,Scotland Offshore Establishments
DG1,Scotland Offshore Establishments
IM4,Isle of Man Offshore Establishments
EH1,Scotland Offshore Establishments
IM8,Isle of Man Offshore Establishments
IM3,Isle of Man Offshore Establishments
IM5,Isle of Man Offshore Establishments
GY5,Guernsey Offshore Establishments
GY2,Guernsey Offshore Establishments
GY6,Guernsey Offshore Establishments
GY7,Guernsey Offshore Establishments
GY3,Guernsey Offshore Establishments
GY4,Guernsey Offshore Establishments
GY9,Guernsey Offshore Establishments
DG3,Scotland Offshore Establishments
EH4,Scotland Offshore Establishments
IM6,Isle of Man Offshore Establishments
CF5,Cardiff
MK9,Milton Keynes
W44,Hounslow
AB2,Scotland Offshore Establishments
FK2,Scotland Offshore Establishments
M50,Salford
W1T,Westminster
L68,Liverpool
L63,Liverpool
N90,Enfield
CF6,Vale of Glamorgan
N9 ,Enfield
W6 ,Hammersmith and Fulham
S3 ,Sheffield
M6 ,Salford
S4 ,Sheffield
N2 ,Barnet
E5 ,Hackney
W2 ,Westminster
B6 ,Birmingham
N7 ,Islington
E7 ,Newham
E6 ,Newham
E3 ,Tower Hamlets
E4 ,Waltham Forest
S9 ,Sheffield
B7 ,Birmingham
S2 ,Sheffield
E1 ,Tower Hamlets
L8 ,Liverpool
E2 ,Hackney
E9 ,Hackney
B9 ,Birmingham
L5 ,Liverpool
S5 ,Sheffield
L6 ,Liverpool
M8 ,Manchester
W1J,Westminster
N5 ,Islington
L9 ,Liverpool
S8 ,Sheffield
W5 ,Ealing
S7 ,Sheffield
S6 ,Sheffield
W3 ,Ealing
M7 ,Salford
N6 ,Haringey
E8 ,Hackney
M5 ,Salford
W9 ,Westminster
L4 ,Liverpool
CH5,Flintshire
LL1,Wrexham
SA1,Carmarthenshire
CF3,Bridgend
CF4,Rhondda Cynon Taf
CF8,Caerphilly
NP4,Torfaen
NP9,Newport
CF1,Cardiff
CF2,Cardiff
LL6,Isle of Anglesey
LL5,Isle of Anglesey
LL7,Isle of Anglesey
LL4,Gwynedd
LL3,Gwynedd
LL2,Gwynedd
CH8,Flintshire
LD1,Powys
LD2,Powys
LD8,Powys
LD3,Powys
LD5,Powys
SA9,Powys
NP8,Powys
LD4,Powys
LD7,Powys
LD6,Powys
SA4,Ceredigion
SA3,Ceredigion
SA7,Pembrokeshire
SA6,Pembrokeshire
SA2,Carmarthenshire
SA5,Swansea
SA8,Neath Port Talbot
CF7,Vale of Glamorgan
NP3,Blaenau Gwent
NP7,Monmouthshire
NP6,Monmouthshire
NP5,Monmouthshire
